,Email,Phone number,Home Address,Persons name,Year born,Number of Kids,House status,Annual Income,No of Speeding Tickets in last year
0,P l u d e   E l l i @ t w i t t e r . c o m,6454237499,flat num 374 Tennessee - TN USA64715,Plude Elli,1991,0,own,322550,7
1,B u r r i e r   B o y d e n @ g o o g l e . c o . i n,9798813559,flat num 448 Mississippi - MS USA98379,Burrier Boyden,1988,1,own,931190,2
2,S u d i e   A l y c e @ g o o g l e . c o . i n,8515148655,flat num 143 Connecticut - CT USA96225,Sudie Alyce,1973,3,rent,532512,6
3,B a n g s   S h i z u k o @ t w i t t e r . c o m,8253810463,flat num 112 Michigan - MI USA60324,Bangs Shizuko,2007,4,rent,299465,2
4,J a n e e   V a n i t a @ t w i t t e r . c o m,1194193427,flat num 276 Louisiana - LA USA46077,Janee Vanita,1973,0,own,360940,4
5,T a n a   A d e l a i d a @ g m a i l . c o m,5346993975,flat num 114 Mississippi - MS USA49760,Tana Adelaida,2009,0,own,916974,10
6,S h i z u k o   G r a c i e l a @ u m b c . e d u,3299252352,flat num 132 Virginia - VA USA16896,Shizuko Graciela,1955,0,rent,515875,8
7,K i n c h   S w e a r e n g i n @ u m b c . e d u,7732956912,flat num 219 Kentucky - KY USA72004,Kinch Swearengin,1985,2,rent,633766,0
8,D a m e w o o d   T h i e l e @ u m b c . e d u,7553203189,flat num 378 Montana - MT USA57691,Damewood Thiele,1996,3,own,937589,5
9,G r a c i e l a   L a u n a @ u m b c . e d u,9392014862,flat num 289 Arkansas - AR USA69868,Graciela Launa,1995,1,own,603808,3
10,A d e l a i d a   C l e m e n t i n e @ u m b c . e d u,7853637913,flat num 226 Connecticut - CT USA12893,Adelaida Clementine,1979,3,own,191021,1
11,D e l a h a n t y   G r a c i e l a @ t w i t t e r . c o m,2649211612,flat num 105 Minnesota - MN USA81264,Delahanty Graciela,2002,0,rent,756893,4
12,J a n e e   B u r r i e r @ g o o g l e . c o . i n,3596484335,flat num 491 Texas - TX USA30614,Janee Burrier,2002,1,rent,855542,8
13,F r a n   V a n i t a @ g o o g l e . c o . i n,5311704291,flat num 236 Massachusetts - MA USA43949,Fran Vanita,1994,1,own,681885,4
14,L u m s d e n   L u m s d e n @ t w i t t e r . c o m,6762199847,flat num 230 Tennessee - TN USA33614,Lumsden Lumsden,2009,1,own,106533,5
15,V a n i t a   S u d i e @ g o o g l e . c o . i n,9001560954,flat num 431 Maryland - MD USA79028,Vanita Sudie,1977,1,own,576418,3
16,L u m s d e n   L e v e r @ u m b c . e d u,5541163336,flat num 259 Delaware - DE USA81663,Lumsden Lever,1990,3,rent,150073,9
17,S w e a r e n g i n   J o n a h @ g o o g l e . c o . i n,5629776258,flat num 216 Delaware - DE USA43555,Swearengin Jonah,1972,3,own,672034,5
18,T a n a   B u r r i e r @ g m a i l . c o m,4964457894,flat num 483 Virginia - VA USA92836,Tana Burrier,2002,3,rent,821411,1
19,L a v o n a   S h i z u k o @ u m b c . e d u,7128624000,flat num 225 West Virginia - WV USA24025,Lavona Shizuko,1989,3,own,157437,8
20,C l a r i t a   D a n a @ b e n . e d u,8271936008,flat num 375 Utah - UT USA36588,Clarita Dana,1971,1,own,735207,9
21,L a u n a   B o y d e n @ b e n . e d u,3592596982,flat num 206 Ohio - OH USA47598,Launa Boyden,1974,1,own,208388,2
22,W o u l l a r d   F r a n @ g m a i l . c o m,9046066763,flat num 479 Arizona - AZ USA38466,Woullard Fran,1993,4,rent,786176,5
23,A d e l a i d a   P l u d e @ b e n . e d u,9905886219,flat num 103 New Mexico - NM USA62455,Adelaida Plude,1957,3,own,509674,9
24,D e s i r a e   D a n a @ t w i t t e r . c o m,3618290864,flat num 297 Alabama - AL USA84678,Desirae Dana,1975,3,rent,497984,6
25,A n i t a   M a t t o o n @ g o o g l e . c o . i n,8963829953,flat num 174 California - CA USA71511,Anita Mattoon,1957,4,own,974722,2
26,A d e l a i d a   L e v e r @ u m b c . e d u,5799713690,flat num 169 Iowa - IA USA98910,Adelaida Lever,1980,0,rent,758118,4
27,M a n i   L u m s d e n @ g m a i l . c o m,7495462708,flat num 406 Massachusetts - MA USA68224,Mani Lumsden,1959,1,rent,748718,0
28,R o s a m a r i a   D e l a h a n t y @ u m b c . e d u,4716172677,flat num 495 Rhode Island - RI USA34264,Rosamaria Delahanty,1965,3,rent,530444,9
29,R i g g e n b a c h   C a s s i d y @ u m b c . e d u,5672644272,flat num 321 Michigan - MI USA86992,Riggenbach Cassidy,1987,0,own,695346,10
30,D e l a h a n t y   L i n t z @ g o o g l e . c o . i n,1375406390,flat num 262 Georgia - GA USA44314,Delahanty Lintz,1987,0,rent,550134,9
31,F o b b s   M a l e n a @ u m b c . e d u,9768040855,flat num 183 South Carolina - SC USA64650,Fobbs Malena,2010,0,own,477717,2
32,V e n z o n   K i t c h i n @ t w i t t e r . c o m,1342560596,flat num 299 Nebraska - NE USA94651,Venzon Kitchin,1950,3,rent,746343,0
33,M a l e n a   D e s i r a e @ g m a i l . c o m,5894677079,flat num 330 West Virginia - WV USA72091,Malena Desirae,1979,3,rent,108202,1
34,V a n i t a   C a t e @ t w i t t e r . c o m,5798216505,flat num 392 Texas - TX USA42342,Vanita Cate,1997,0,own,684110,0
35,D a m e w o o d   W h e t s e l @ u m b c . e d u,1233618472,flat num 179 Delaware - DE USA35495,Damewood Whetsel,1983,0,rent,635035,10
36,A n i t a   L a u n a @ g m a i l . c o m,3363102356,flat num 411 North Carolina - NC USA40961,Anita Launa,1976,4,rent,911236,10
37,R i c k i e   L i n t z @ u m b c . e d u,8768636117,flat num 410 Rhode Island - RI USA54992,Rickie Lintz,1994,2,own,840764,3
38,F o b b s   G r a c i e l a @ u m b c . e d u,7285770384,flat num 436 New York - NY USA72991,Fobbs Graciela,1992,2,own,692752,5
39,C a r b o n a r o   L u m s d e n @ b e n . e d u,4633794381,flat num 412 Pennsylvania - PA USA67174,Carbonaro Lumsden,1998,3,own,504487,6
40,C a t e   T h i e l e @ b e n . e d u,9101747161,flat num 183 Pennsylvania - PA USA13051,Cate Thiele,1964,0,rent,945970,5
41,F o b b s   C l a r i t a @ u m b c . e d u,8474795349,flat num 420 Indiana - IN USA30584,Fobbs Clarita,1966,3,rent,245322,8
42,T r o w b r i d g e   V e n z o n @ u m b c . e d u,4752880487,flat num 330 Illinois - IL USA72772,Trowbridge Venzon,1996,0,own,455528,1
43,C a r r i e   R o s a m a r i a @ g o o g l e . c o . i n,1287744262,flat num 273 Washington - WA USA78311,Carrie Rosamaria,1971,2,own,279663,3
